water req,Min Temp,Max Temp,Humidity,Wind,Sun,Rad,rain,altitude,latitude,longitude,Soil,Crop,CITY,month
101.1979,25.482962,35.029633,81.688156,331.0116,5.7157145,14.691753,31.614538,429.80695,28.167677,85.579895,BLACK KLAY,rice,kurnool,july
168.32649,23.922428,32.04923,38.48681,134.44508,6.846561,24.77157,33.98316,309.83496,24.933569,87.96323,BLACK KLAY,rice,delhi,september
277.1256,27.12502,40.69863,54.434002,122.219955,2.2784834,17.284052,515.1918,89.88777,28.598291,72.86829,BLACK KLAY,rice,kurnool,july
324.0776,27.401731,33.177647,30.025791,120.75649,5.160695,13.030349,294.71027,232.6896,28.456297,87.91079,BLACK KLAY,rice,mumbai,may
469.43494,27.391302,33.303158,79.68091,356.07965,2.7976215,24.221306,451.01617,381.06537,25.059677,73.56067,BLACK KLAY,rice,chennai,may
474.18076,26.986141,34.647938,50.822983,159.31854,6.1797943,19.834023,386.2756,348.30176,13.58507,74.35914,BLACK KLAY,rice,chennai,may
476.2194,23.656837,36.342503,69.40915,309.59662,9.668296,12.920844,60.193703,90.35531,17.003273,80.32921,BLACK KLAY,rice,jaipur,may
465.20056,27.76824,40.579903,65.05867,333.4239,6.3974185,14.296828,620.12524,283.621,14.024314,72.84423,BLACK KLAY,rice,mumbai,july
302.55978,25.546667,30.23822,82.922066,217.29723,9.1821375,20.133007,18.931677,154.78563,14.364243,85.864395,BLACK KLAY,rice,jaipur,june
390.73715,27.939693,31.883724,79.811195,169.03212,9.830099,24.602888,19.690016,165.04189,13.324822,82.853096,BLACK KLAY,rice,chennai,may
96.992325,26.220978,31.29432,59.83901,149.65396,3.0186555,24.923367,102.873505,50.19249,16.381962,82.88782,BLACK KLAY,rice,kurnool,august
1.3235836,27.122643,39.017365,69.52204,213.82196,9.61779,14.699941,579.0937,133.81978,27.51871,77.621895,BLACK KLAY,rice,mumbai,june
276.13452,23.654482,38.960552,83.81509,185.04149,2.952857,16.364607,611.376,63.799534,23.03329,73.59856,BLACK KLAY,rice,jaipur,september
49.983387,27.898369,33.665054,27.847694,120.18322,7.206549,14.3232975,532.9286,393.70688,20.148834,76.26442,BLACK KLAY,rice,delhi,august
467.16037,27.973656,39.79976,69.04981,243.53174,5.0514355,15.757638,253.76814,260.96768,28.688347,73.04587,BLACK KLAY,rice,kolkata,september
186.49774,27.564451,37.083984,49.125347,186.84418,6.5095553,13.2923765,378.18402,345.5401,28.313238,86.880585,BLACK KLAY,rice,kurnool,september
337.05133,27.347626,30.01246,78.250046,188.1114,6.8166046,17.730764,480.5071,273.54895,13.106134,74.331215,BLACK KLAY,rice,kurnool,june
351.70227,26.748913,30.217495,34.4331,130.20148,4.865444,20.37578,163.9843,12.213008,18.17999,74.33779,BLACK KLAY,rice,jaipur,june
