water req,Min Temp,Max Temp,Humidity,Wind,Sun,Rad,Rain,altitude,latitude,longitude,Soil,Crop,city,month
223.8873,25.989601,38.410786,45.024296,285.80005,6.488002,20.591084,48.52131,309.82425,22.820381,77.75163,red loamy,potato,jaipur,May
34.239212,24.454906,34.763393,69.90728,192.31651,5.326614,18.012518,358.9621,102.01452,24.937464,87.452286,red loamy,potato,kolkata,June
69.0715,24.118795,31.873543,66.11345,274.77734,6.5619726,18.489395,411.4637,130.35585,19.405682,73.59799,red loamy,potato,mumbai,June
129.04854,20.102636,32.82189,59.306114,195.55914,8.727655,21.786455,107.49474,49.754128,20.676123,76.6286,red loamy,potato,mumbai,March
245.07693,25.949537,38.831272,32.107845,250.86139,6.464549,20.6151,18.788143,407.08676,24.339947,75.73498,red loamy,potato,jaipur,April
115.989525,19.314398,33.960644,61.245247,194.2029,8.561374,22.188143,42.710274,62.320507,18.782639,82.94729,red loamy,potato,kolkata,March
183.08432,23.680325,35.759083,45.087063,224.79828,8.302623,22.876558,4.7026563,321.70935,25.03365,78.2505,red loamy,potato,jaipur,April
188.8469,22.740175,34.436386,37.785572,200.01907,8.928887,23.578663,4.437615,211.55516,21.343601,74.35587,red loamy,potato,mumbai,April
138.96164,23.555685,35.20305,56.435364,211.05145,7.926324,21.401142,104.337776,51.837406,20.311155,82.7927,red loamy,potato,kolkata,April
120.24304,18.482834,33.02462,40.00238,184.02545,8.766816,21.106743,11.398744,331.0496,26.223223,76.970276,red loamy,potato,jaipur,March
