Crop_Code,Growing_period_days_min,Growing_period_days_max,Crop_water_need_mm_min,Crop_water_need_mm_max
0,-0.5094339622641508,1.0,-0.16666666666666652,0.10000000000000009
1,1.0,1.0,0.5,0.7000000000000002
2,-0.35849056603773577,-0.34375,-0.75,-0.85
4,-0.6981132075471698,-0.71875,-1.0,-1.0
3,-0.5471698113207547,-0.59375,-1.0,-1.0
5,-0.35849056603773577,-0.40625,-0.9166666666666666,-1.0
6,-0.5094339622641508,-0.34375,-0.5733333333333333,-0.608
7,0.5471698113207548,1.0,0.0,-0.30000000000000004
8,0.09433962264150941,-0.0625,-0.33333333333333326,-0.19999999999999996
9,-0.47169811320754707,-0.46875,-0.5733333333333333,-0.608
10,-0.28301886792452824,-0.40625,-0.5733333333333333,-0.608
11,-0.13207547169811318,0.09375,-0.5733333333333333,-0.608
12,-0.13207547169811318,-0.25,-0.5733333333333333,-0.608
13,-0.13207547169811318,-0.21875,-0.5733333333333333,-0.608
14,-0.6981132075471698,-0.40625,-0.5733333333333333,-0.608
16,-0.660377358490566,-0.59375,-0.6666666666666666,-0.7
15,-0.320754716981132,-0.15625,-0.6666666666666666,-0.7
17,-0.35849056603773577,-0.28125,-0.8333333333333333,-0.9
18,-0.47169811320754707,-0.40625,-0.75,-0.85
20,-0.7358490566037735,-0.6875,-0.9166666666666666,-0.95
19,-0.13207547169811318,0.03125,-0.9166666666666666,-0.95
22,-0.28301886792452824,-0.40625,-0.6666666666666666,-0.7999999999999999
21,-0.5849056603773585,-0.65625,-0.9166666666666666,-1.0
23,-0.35849056603773577,0.03125,-0.5,-0.6
24,-0.47169811320754707,-0.375,-0.6666666666666666,-0.7999999999999999
25,-1.0,-1.0,-0.5733333333333333,-0.608
26,-0.5849056603773585,-0.34375,-0.75,-0.7999999999999999
27,-0.35849056603773577,-0.46875,-0.75,-0.85
28,-0.24528301886792447,-0.34375,-0.75,-0.7999999999999999
29,-0.8113207547169811,-0.65625,-0.5733333333333333,-0.608
30,-0.5471698113207547,-0.53125,-0.5733333333333333,-0.608
31,-0.05660377358490565,0.15625,-0.5833333333333333,-0.75
32,0.7735849056603774,1.0,1.0,1.0
33,-0.320754716981132,-0.46875,-0.5,-0.5
34,-0.28301886792452824,-0.28125,-0.5733333333333333,-0.608
35,-0.24528301886792447,-0.15625,-0.8333333333333333,-0.7
