water req,Min Temp,Max Temp,Humidity,Wind,Sun,Rad,rain,altitude,latitude,Crop,Soil,city,month
233.36699,22.920456,39.652557,27.110903,217.10756,8.682552,23.809303,1.9192734,376.18378,25.63498,blé,red sandy,jaipur,April
240.36774,21.352818,36.53537,36.884075,247.73952,9.646803,24.070059,8.39707,108.674324,15.797448,blé,red sandy,chennai,April
122.61282,20.08484,34.573685,35.28617,148.84467,8.736675,22.268417,10.537525,260.31534,24.001823,blé,red sandy,kolkata,March
98.45803,27.44385,38.750473,58.887222,214.05917,7.750441,21.561302,14.363024,209.95459,23.737474,blé,red sandy,delhi,April
5.8095903,25.492998,33.12257,77.26749,256.78854,9.758727,23.616846,78.3473,9.517545,16.077011,blé,red sandy,mumbai,June
4.982711,25.426235,31.908928,80.349106,271.9253,4.6474686,15.33955,548.6251,14.403072,18.354887,blé,red sandy,mumbai,July
0.6125637,27.10248,33.172844,83.48838,281.1384,4.618951,20.964935,564.6383,53.012238,21.024513,blé,red sandy,jaipur,July
32.366516,22.88832,36.29343,72.83746,168.27571,7.955587,22.798016,88.41107,9.140228,21.903324,blé,red sandy,kolkata,April
0.037938133,27.5266,29.38594,83.980774,330.5604,2.4389415,13.390208,635.6672,7.026637,19.694252,blé,red sandy,mumbai,July
0.07453911,26.185574,30.468859,83.777214,172.4861,3.8183146,13.848223,623.06647,8.702005,22.536085,blé,red sandy,mumbai,July
0.0029085577,27.489368,29.661137,83.99158,333.00552,2.1086462,13.038657,639.52295,7.4860764,19.166393,blé,red sandy,mumbai,July
0.31387046,25.900028,31.760782,81.43496,205.87244,5.356896,18.006796,117.60509,11.596185,20.649101,blé,red sandy,kolkata,July
0.3249386,27.4135,32.27762,83.42072,224.2166,3.151256,13.720306,604.2633,7.990715,19.095669,blé,red sandy,kolkata,July
93.90566,21.931335,36.392357,58.7879,180.87065,9.008621,23.077253,16.443813,17.99904,19.445953,blé,red sandy,mumbai,March
167.93192,22.15078,35.78035,36.59199,208.84311,7.9441123,22.001879,32.329243,312.91528,20.600769,blé,red sandy,kurnool,March
202.49934,25.322134,38.135414,44.678272,193.52365,9.663787,24.051394,3.470722,138.11465,27.912249,blé,red sandy,kolkata,April
150.07516,23.02964,36.877514,36.80525,253.0778,9.12147,21.342474,21.020369,133.2489,19.840313,blé,red sandy,jaipur,April
282.81845,26.611101,39.82219,32.483253,325.15967,8.309296,24.52278,1.8091295,283.7393,18.7346,blé,red sandy,kurnool,April
181.9135,25.521164,38.634666,47.17479,215.99721,9.1911335,22.841927,10.520274,23.800375,15.298115,blé,red sandy,kolkata,April
102.11823,15.565499,33.040894,30.558855,179.39862,9.123084,21.955814,5.7382865,428.53452,26.136303,blé,red sandy,jaipur,March
309.00845,20.767769,38.45751,33.092113,315.73157,6.782754,22.831736,2.1367652,430.77704,28.446684,blé,red sandy,jaipur,April
6.083014,26.633507,34.604874,82.5488,247.53648,4.5407557,15.822873,624.36914,8.776888,17.562809,blé,red sandy,mumbai,July
50.35423,23.641884,34.3965,43.851086,266.20575,6.9742517,17.711254,13.985176,363.83917,23.502913,blé,red sandy,delhi,July
9.972185,18.747204,31.639347,60.570824,222.01117,7.580669,21.524017,51.655514,52.6117,19.742474,blé,red sandy,kolkata,March
0.34268275,25.510798,30.839218,83.6913,289.18777,2.5634816,13.97732,628.0129,34.306316,23.714327,blé,red sandy,jaipur,July
0.8244785,26.616968,34.310745,82.59676,264.84848,3.5476055,17.764608,312.03897,47.262184,16.589746,blé,red sandy,mumbai,July
1.0102748,26.400154,33.097534,79.63427,214.28673,4.1538696,18.91176,344.722,174.59781,24.880087,blé,red sandy,delhi,July
2.6245925,25.700603,31.241234,82.2715,260.08633,3.3890564,14.257824,606.78613,50.2408,17.321527,blé,red sandy,kolkata,July
14.133404,24.967915,33.506203,67.21474,319.84433,5.3536606,17.334175,81.22816,369.92886,26.769978,blé,red sandy,jaipur,July
135.92593,21.333063,38.540302,31.437403,242.474,8.755553,20.483715,9.617041,392.43942,23.483566,blé,red sandy,jaipur,April
4.4984164,22.749855,30.09855,78.06246,159.43568,6.4986634,18.970383,366.40253,9.97385,25.219421,blé,red sandy,mumbai,March
1.2026496,26.257746,30.84347,83.61242,276.29132,2.783614,14.268663,617.82556,53.093224,15.351124,blé,red sandy,mumbai,July
0.13796128,25.662918,30.079624,83.11892,246.3224,3.456098,13.693746,500.71207,10.312374,19.152287,blé,red sandy,mumbai,July
266.03522,25.579132,35.9837,40.826614,279.11508,9.724694,24.125435,7.670436,23.847988,15.573805,blé,red sandy,mumbai,April
4.5767617,25.278414,32.324863,79.69818,227.3725,5.205392,16.080498,505.68082,11.778967,20.336689,blé,red sandy,mumbai,July
206.60658,20.217556,36.180634,32.264404,216.50922,9.223677,22.519258,5.602694,335.978,24.835669,blé,red sandy,jaipur,April
0.12134932,27.518524,30.084076,83.89312,361.0015,2.1549354,13.022254,632.66376,25.638397,14.496559,blé,red sandy,mumbai,July
222.29265,24.40719,36.149994,31.423574,262.70096,8.422392,21.334711,24.020063,309.14127,15.716955,blé,red sandy,kurnool,April
278.91287,22.995935,38.718506,27.620434,303.0626,8.777165,23.561028,1.8327901,420.94284,26.199953,blé,red sandy,jaipur,April
19.922165,26.21651,33.84596,78.86355,184.72935,4.204275,17.6736,209.85394,53.61501,23.661564,blé,red sandy,kolkata,July
