water req,Min Temp,Max Temp,Humidity,Wind,Sun,Rad,rain,altitude,latitude,longitude,Soil,Crop,CITY,month
0.561674,25.05765,30.017797,83.577,281.56293,2.97474,13.975195,495.06967,11.188352,19.035616,72.86948,BLACK KLAY,rice,mumbai,august
304.02405,25.557167,36.953022,47.363716,294.81866,6.6246386,19.583523,197.56104,272.024,24.260403,73.73896,BLACK KLAY,rice,jaipur,may
5.406546,25.02193,30.149323,82.450935,285.80948,3.0268106,14.186103,507.99036,19.714136,19.18674,72.918236,BLACK KLAY,rice,mumbai,august
67.59911,25.094654,31.605461,74.68215,291.31955,3.816505,15.448224,436.3333,75.90945,20.521809,73.144485,BLACK KLAY,rice,mumbai,august
231.3233,25.40375,35.267635,56.728123,292.6487,5.8312483,18.499063,263.72986,215.58662,23.44846,73.66544,BLACK KLAY,rice,jaipur,august
400.49408,25.781944,39.13939,34.763985,289.6303,8.019493,21.914162,96.138954,358.89935,25.752165,74.52752,BLACK KLAY,rice,jaipur,may
467.56287,25.915606,40.70972,28.212017,290.6502,8.808252,23.140314,35.720074,419.22205,26.560806,75.93309,BLACK KLAY,rice,jaipur,may
479.36737,25.727028,40.9998,27.00124,290.8045,8.975654,23.439342,10.971537,430.9593,26.355509,75.25603,BLACK KLAY,rice,jaipur,may
7.850606,25.025862,30.21987,81.983574,286.38724,3.0539503,14.203605,505.5763,22.483925,19.169407,72.93911,BLACK KLAY,rice,mumbai,august
479.18015,25.759295,40.99794,27.010098,291.38266,8.9374275,23.387552,12.777454,430.76773,26.54474,75.41095,BLACK KLAY,rice,jaipur,may
478.74335,25.836445,40.991856,27.039183,290.69037,8.855124,23.308424,15.547718,430.2769,26.49637,75.670074,BLACK KLAY,rice,jaipur,may
80.711426,25.11108,31.885853,73.39195,291.3415,4.008294,15.684596,422.6251,88.60803,20.859282,73.184105,BLACK KLAY,rice,mumbai,august
0.6583557,25.063091,30.020992,83.54595,282.58868,3.0011137,14.028199,496.09598,11.680317,19.014116,72.87171,BLACK KLAY,rice,mumbai,august
471.28635,25.921936,40.806908,27.732569,289.76755,8.830654,23.200699,29.778673,423.4655,26.691996,75.90292,BLACK KLAY,rice,jaipur,may
471.34814,25.914316,40.813065,27.694593,290.01917,8.79166,23.145916,31.096691,423.15533,26.649277,75.91703,BLACK KLAY,rice,jaipur,may
1.7652019,25.045502,30.052643,83.18149,283.85892,3.0279782,14.086185,499.5026,14.921168,19.106682,72.899025,BLACK KLAY,rice,mumbai,august
200.4069,25.29142,34.97321,57.55749,292.31628,5.5776706,18.040367,255.86421,235.52655,23.879063,73.57288,BLACK KLAY,rice,jaipur,august
474.58115,25.910831,40.897846,27.430752,290.7155,8.818804,23.19217,26.565966,426.1351,26.570282,75.83163,BLACK KLAY,rice,jaipur,may
476.16467,25.903204,40.93936,27.261759,290.29208,8.810978,23.209187,22.85541,427.6743,26.592995,75.76279,BLACK KLAY,rice,jaipur,may
3.7309396,25.034178,30.108694,82.67319,285.4111,3.0136774,14.135464,507.97345,17.393463,19.096111,72.92027,BLACK KLAY,rice,mumbai,august
473.74133,25.904968,40.8834,27.492836,290.85315,8.807964,23.19992,28.089613,425.43384,26.630114,75.79203,BLACK KLAY,rice,jaipur,may
2.4957511,25.040743,30.07253,83.023766,284.22906,3.0146935,14.09853,504.93033,15.796603,19.06228,72.905975,BLACK KLAY,rice,mumbai,august
2.3473496,25.05019,30.067427,83.03881,284.9011,3.0084646,14.112745,506.03845,15.29127,19.113688,72.9073,BLACK KLAY,rice,mumbai,august
0.036946785,25.112429,30.001392,83.917946,278.25912,2.9887516,13.860229,479.63727,8.1935005,18.799025,72.84141,BLACK KLAY,rice,mumbai,august
0.22735274,25.078066,30.007769,83.74124,280.96906,2.9963043,13.97725,489.79324,9.89682,19.021149,72.85507,BLACK KLAY,rice,mumbai,august
0.116926715,25.098408,30.004139,83.824326,279.84827,3.021579,13.964093,481.873,9.1293745,18.899763,72.85204,BLACK KLAY,rice,mumbai,august
26.835924,25.048714,30.708097,79.34418,288.03128,3.363059,14.658205,476.78036,42.91962,19.767159,73.03971,BLACK KLAY,rice,mumbai,august
473.34604,25.929806,40.86411,27.524866,290.10114,8.858667,23.237783,26.782352,425.07104,26.737997,75.82317,BLACK KLAY,rice,jaipur,may
0.74693656,25.05812,30.023064,83.500305,282.3282,2.9943695,14.01647,499.76987,11.843399,18.991589,72.87735,BLACK KLAY,rice,mumbai,august
0.6683139,25.044096,30.02073,83.55463,282.34586,2.9817626,14.007318,498.38187,11.880398,19.01763,72.87279,BLACK KLAY,rice,mumbai,august
0.07953703,25.078876,30.002909,83.86493,279.59995,2.938492,13.85397,487.2342,8.67317,18.946917,72.84461,BLACK KLAY,rice,mumbai,august
255.3076,25.468071,35.94735,52.154415,293.5922,6.102257,18.74069,238.80504,227.60202,23.680574,73.568146,BLACK KLAY,rice,jaipur,august
