Crop_Name,Growing_period_days,Crop_water_need_mm
Carrot,243,903
Cotton,248,903
Alfalfa,140,1206
Cucumber,129,1508
Squash,228,1107
Rice,142,1507
Soybean,207,991
Banana,115,1587
Bean green,250,1002
Cotton,255,897
Squash,243,1110
Alfalfa,247,994
Citrus,121,1374
Barley/Oats/Wheat,269,1449
Onion dry,183,776
Citrus,151,1630
Flax,252,1646
Potato,223,1085
Sunflower,232,906
Potato,236,987
Squash,241,1179
Barley/Oats/Wheat,244,1122
Onion green,126,1342
Pea,240,1184
Potato,257,1125
Maize grain,276,1316
Potato,220,1037
Sorghum,140,1585
Lettuce,224,937
Pea,138,1437
Sorghum,201,846
Bean dry,231,820
Sugarcane,249,1098
Sorghum,238,1266
Flax,240,1072
Soybean,242,1071
Flax,253,1259
Cabbage,284,1138
Radish,215,871
Sorghum,245,1190
